Nombre,Link,Grupo muscular,Nivel de experiencia
Step up,https://musclewiki.com/kettlebells/male/quads/step-up,Tren inferior,Principiante
Sentadilla,https://musclewiki.com/bodyweight/male/quads/bodyweight-squat,Tren inferior,Principiante
Puente de glúteos con una sola pierna,https://musclewiki.com/bodyweight/male/glutes/glute-bridge,Tren inferior,Principiante
Sentadilla con salto,https://musclewiki.com/bodyweight/male/quads/jump-squats,Tren inferior,Principiante
Estocada lateral,https://musclewiki.com/bodyweight/male/quads/side-lunges,Tren inferior,Principiante
Patada de glúteos,https://www.youtube.com/watch?v=jX4ojYiFYAg&ab_channel=FitKamp,Tren inferior,Principiante
Sentadilla isómetrica,https://www.youtube.com/watch?v=-qXuHrdmk4g&ab_channel=VikikaTeam,Tren inferior,Principiante
Forward lunges,https://musclewiki.com/bodyweight/male/quads/forward-lunges,Tren inferior,Principiante
Sentadilla con una sola pierna,https://www.youtube.com/shorts/CRuFLSuiGQ0,Tren inferior,Principiante
Puente de glúteos con una sola pierna,https://www.youtube.com/watch?v=RwIzC9Jbutw&ab_channel=Ejerciciosencasa-HealthyFitness,Tren inferior,Principiante
Estocada de reverencia,https://musclewiki.com/barbell/male/quads/barbell-curtsy-lunge,Tren inferior,Intermedio
Sentadilla sumo,https://www.youtube.com/watch?v=3eLSmT0e3Bk&ab_channel=JotaTrainerFit,Tren inferior,Intermedio
Empuje de cadera,https://www.youtube.com/watch?v=hQHraV_U0u4&ab_channel=SportLifeEspa%C3%B1a,Tren inferior,Intermedio
Sentadilla con piernas juntas,https://www.youtube.com/watch?v=Acv3F8lDpLY&ab_channel=EvolutionCRFitness,Tren inferior,Intermedio
Sentadilla a cada lado,https://www.youtube.com/shorts/7KV2x-jHfcU,Tren inferior,Intermedio
Elevación de pantorrilla con salto,https://www.youtube.com/shorts/xHZtfGbnbEw,Tren inferior,Intermedio
Salto estrella,https://www.youtube.com/watch?v=ZUd0cd5oSHw&ab_channel=InstaFitOficial,Tren inferior,Intermedio
Salto de tijera,https://www.youtube.com/watch?v=2P2_TjzqGLQ&ab_channel=C.A.D.E,Tren inferior,Intermedio
Elevacion de pantorrilla hacia afuera,https://www.youtube.com/watch?v=d3mYX2MbeRA&ab_channel=MyOwnProject,Tren inferior,Intermedio
Patada trasera en equilibrio,https://www.youtube.com/watch?v=XXYxpDd1wIo&ab_channel=BalonmanoPaideuterion,Tren inferior,Intermedio
Curl nórdico ,https://www.youtube.com/watch?v=U7zU0eHQRaw&ab_channel=JessyFit,Tren inferior,Avanzado
Sentadilla profunda,https://www.youtube.com/watch?v=KINhoNE0FC4&ab_channel=FitKamp,Tren inferior,Avanzado
Sentadilla profunda con una sola pierna,https://www.youtube.com/watch?v=KINhoNE0FC4&ab_channel=FitKamp,Tren inferior,Avanzado
Sentadilla pistol,https://www.youtube.com/watch?v=GM3qasWpvwU&ab_channel=PabloPizzurno,Tren inferior,Avanzado
Estocada pliometrica,https://www.youtube.com/shorts/od1p7FLIhNY,Tren inferior,Avanzado
Estocada con elevación de rodilla,https://www.youtube.com/watch?v=XGqfDNTCxrY&ab_channel=H%C3%A9l%C3%A8neBunel,Tren inferior,Avanzado
Salto explosivo,https://www.youtube.com/watch?v=7XN2QKuVOaY&ab_channel=4.0TRAINER,Tren inferior,Avanzado
Burpees invertido,https://www.youtube.com/watch?v=KYS8cUgYUnQ&ab_channel=Alnatural,Tren inferior,Avanzado
Sentadilla hindu,https://www.youtube.com/shorts/ERXH6fLR1gU,Tren inferior,Avanzado
Saltos con o sin cuerda,https://www.youtube.com/watch?v=uDkLwCf8TfA&ab_channel=Educaci%C3%B3nF%C3%ADsicaencasa,Tren inferior,Avanzado
Plancha lateral,https://www.youtube.com/watch?v=bRivOELQVOs&ab_channel=StrongRunner,Tren superior,Principiante
Elevación de piernas acostado,https://www.youtube.com/watch?v=eEbq5_AIgpo&ab_channel=HigeaSalud,Tren superior,Principiante
Giro ruso,https://www.youtube.com/watch?v=bVDeIMz2YN8&ab_channel=LuisCarballo,Tren superior,Principiante
Fondos de banco,https://musclewiki.com/bodyweight/male/triceps/bench-dips,Tren superior,Principiante
Flexiones de diamante,https://www.youtube.com/watch?v=PJmOZaGnScA&ab_channel=MovetoExcellence,Tren superior,Principiante
Toque al talón,https://www.youtube.com/watch?v=t6w-dO9zYrQ&ab_channel=GravedadyBarras,Tren superior,Principiante
Elevacion lateral de brazos (sin peso),https://www.youtube.com/watch?v=rLlgGh62c7s&ab_channel=D.W,Tren superior,Principiante
Flexión de brazos,https://www.youtube.com/watch?v=e_EKkqoHxns&ab_channel=PatricioAlmir%C3%B3n,Tren superior,Principiante
Up down,https://www.youtube.com/watch?v=OpOfk_1NBYc&ab_channel=EverydayHealth,Tren superior,Principiante
Inchworm,https://www.youtube.com/watch?v=nsTNJWlm-CA&ab_channel=CrossFitNorthwestPaterna,Tren superior,Principiante
Abdominal cruzado,https://www.youtube.com/watch?v=jNRglBI5KPw&ab_channel=InstaFitOficial,Tren superior,Intermedio
Extensión de hombros,https://www.youtube.com/watch?v=jF1xGBIrJA4&ab_channel=RobertS%C3%A1nchez,Tren superior,Intermedio
Hand side plank,https://musclewiki.com/bodyweight/female/obliques/hand-side-plank,Tren superior,Intermedio
Abdominal en V,https://www.youtube.com/watch?v=xUsHyWZGm0w&ab_channel=EjerciciosenCasa,Tren superior,Intermedio
Flexion escalonada,https://www.youtube.com/watch?v=bb3Rqmf6fn0&ab_channel=GQSpain,Tren superior,Intermedio
Burpees,https://www.youtube.com/watch?v=IYusabTdFEo&ab_channel=VideoBodytech,Tren superior,Intermedio
Crunch de bicicleta,https://www.youtube.com/watch?v=qaPtPVt87Po&ab_channel=DanielaMilitaruAntrenoareRo,Tren superior,Intermedio
Superman y nadador,https://www.youtube.com/watch?v=FWaMfMSJy3I&ab_channel=StrongRunner,Tren superior,Intermedio
Walkover push up,https://musclewiki.com/kettlebells/male/chest/walkover-pushup,Tren superior,Intermedio
Triceps en suelo ,https://www.youtube.com/watch?v=lAG7rJ9duKY&ab_channel=JuanRallo,Tren superior,Intermedio
Molino,https://www.youtube.com/watch?v=a7GUtnf6s1A&ab_channel=SerraGolfAcademy,Tren superior,Avanzado
Flexion supina,https://www.youtube.com/watch?v=h8MJi_WfqoM&ab_channel=AlejoMarino,Tren superior,Avanzado
Long lever plank,https://musclewiki.com/bodyweight/male/abdominals/long-lever-plank,Tren superior,Avanzado
Flexión y rotación,https://www.youtube.com/watch?v=5w6k8WJlEeA&ab_channel=P4PEspa%C3%B1ol,Tren superior,Avanzado
Elevaciones en Y,https://www.youtube.com/watch?v=6ZTH0Rehkwk&ab_channel=EntrenamientoEspartano360,Tren superior,Avanzado
Flexiones con dedos,https://www.youtube.com/watch?v=N8juYnLSl6A&ab_channel=PaleoTraining,Tren superior,Avanzado
Arm circles,https://www.youtube.com/watch?v=umuYtoJaDE8&ab_channel=HockeyTrainingExerciseDemonstrations,Tren superior,Avanzado
Ángel de nieve invertido,https://www.youtube.com/watch?v=g0EIP8WNt4Q&ab_channel=Challenger,Tren superior,Avanzado
Hollow hold,https://musclewiki.com/bodyweight/female/abdominals/hollow-hold,Tren superior,Avanzado
Flexiones verticales,https://www.youtube.com/watch?v=ZyU5FuDdI0k&ab_channel=NOMADAFIT,Tren superior,Avanzado
